,chi2,chi2dof,Mbol,Mbol_err,logg,logg_err,G3,distance,dist_mod,G3_BP,G3_RP,Teff,Av_G3,Av_G3_BP,Av_G3_RP,mass,age
0,0.015936641856232638,1,11.313988631618646,4.310314943601521,8.011892637087815,3.55074220850022,11.847809836979646,311.54441150949236,7.467599826383404,11.855347431781139,11.830624837765805,11267.752997637008,0.0,0.0,0.0,0.6105524533956727,471516619.0062384
1,0.458505054440946,1,11.491596139558911,0.5963858647469809,7.677700175557706,1.2970803987128077,11.803745253612474,413.03939428896297,8.07995737579294,11.852065240295055,11.702397213226476,9747.7143981733,0.0,0.0,0.0,0.42935076265136596,462842046.4438642
2,0.36740551039578784,1,11.619769202218128,1.0800964451512687,8.317998071539426,0.6433194350526225,12.228648297007444,366.87204836532914,7.822573122651031,12.229430455164115,12.223339510207355,11679.09485826977,0.0,0.0,0.0,0.8076116176923626,662976047.8674345
3,0.080231409927042,1,10.949000993085406,1.1956989335125265,7.494512179559458,1.5487052509670647,11.339545254251986,391.34101341637523,7.962776826610729,11.364108230546629,11.289780121777815,10410.026139548134,0.0,0.0,0.0,0.3564280041254307,304252475.14075655
4,0.33765416810407645,1,12.17434520491753,0.38780701215400176,7.98485180307948,0.9352904213130397,12.438305940872796,406.51314879178415,8.045372987723763,12.507441605980233,12.289854606907676,9183.429115026347,0.0,0.0,0.0,0.5887789266711688,770607240.0906625
5,0.40105322671034205,1,10.95978107810806,0.5115137803096156,7.457299666478276,0.7633922099034818,11.32907114915118,447.15659026716105,8.252298179193891,11.357587867659786,11.271038046955445,10267.57408563717,0.0,0.0,0.0,0.3420566082278351,298978417.61685455
6,0.0027856235866655617,1,11.499847494165598,6.572045040502348,7.867911609147418,9.768688265622155,11.884970840811288,347.48024077934423,7.704650568882774,11.916450805226587,11.81754380855765,10318.163150860328,0.0,0.0,0.0,0.5260148586193859,499150201.9852392
7,0.25213336440636386,1,11.656480252104943,0.0,7.000000009678247,0.0,11.76297240725497,430.73975465141103,8.171074781717294,11.89950753107142,11.499903862618044,7670.618830951586,0.0,0.0,0.0,0.20200677483333426,317515295.49142444
8,0.14633172707936346,1,10.894130394063186,2.650909627203757,8.275485012476233,1.056876566190567,11.900919738179546,382.7113046130084,7.914356453512612,11.871520183641277,11.961674425106722,13590.213669704925,0.0,0.0,0.0,0.7818612766533481,413825326.9661497
9,0.9624617191250108,1,12.182231181469454,0.33046723453913895,8.30713349310518,0.462077105788553,12.5616281500301,347.9250985734431,7.707428794769607,12.598087251867378,12.48016564490783,10217.325664007105,0.0,0.0,0.0,0.7978678029906313,932899133.5926785
10,0.0037963808260883572,1,11.816987800098415,4.874033495882634,8.035050241923802,7.645878184978111,12.184057258201635,399.1182472141058,8.005507918339314,12.222382187224648,12.099621043782298,10124.787758605546,0.0,0.0,0.0,0.6220114451502237,640493209.2497438
11,0.5029235041237627,1,12.118792423191465,0.5141089196097224,8.298575793648522,0.6120569558430866,12.516336961578677,316.233544139252,7.500039676840937,12.549523659926473,12.441845508857735,10343.089931677237,0.0,0.0,0.0,0.7909832025534383,889796347.7078035
12,0.2209602771447669,1,12.405432182844713,0.3968211784542269,7.6477061944168305,1.2217724668202414,12.530406255586872,337.1015920168788,7.638804017759309,12.658399582074372,12.281472785364697,7862.617015499757,0.0,0.0,0.0,0.4092950725747152,770202577.2583328
13,0.03691871287014388,1,11.77226549467001,0.9652107614925902,7.498951308526229,2.8322975785875193,11.974895395727248,348.5922381336762,7.711588563708618,12.06343443294829,11.795211071937274,8674.077787296728,0.0,0.0,0.0,0.3502715315194128,508320753.7095754
14,0.9022873499024175,1,12.676017613158601,0.0,7.000000162118324,0.0,12.663693579714606,336.9108311007011,7.637574865111237,12.924917988147188,12.232715982262212,6155.3650503819445,0.0,0.0,0.0,0.19043570127249354,654025104.4899032
15,0.00011237636373933196,1,11.558817719410126,27.40261503819489,7.81454435658555,46.718753612951694,11.902719730583396,370.9887591667334,7.846803754196284,11.9430457190063,11.816958435581238,10009.123231813477,0.0,0.0,0.0,0.49633888719782937,506186988.18932617
16,2.4231963980553353,1,9.571243961671,0.0,7.000000031694703,0.0,10.304324056737522,372.09604571411273,7.853275273869215,10.284968811832885,10.349071191222093,12020.187099032788,0.0,0.0,0.0,0.22811262420636486,27700494.598014466
17,1.4282279214914363e-05,1,11.178933205785011,48.465034857739425,7.288130507604857,122.86840795919964,11.434441799269344,389.8013619035903,7.954216760698429,11.496679924254815,11.306653745909962,9292.020102767783,0.0,0.0,0.0,0.28527653825846844,298662149.3238546
18,0.27046257034498283,1,12.127126023814107,0.5008269385789536,8.15732497449804,0.898154480537177,12.458373274620309,350.96621771863624,7.72632657713737,12.50625307432172,12.353168476937222,9816.070768842912,0.0,0.0,0.0,0.6993553116492119,820310995.358079
19,0.2666014640834468,1,11.013335153056264,0.9386461125724218,7.794185319219609,0.7581894329912471,11.545150040068485,433.7031441977341,8.185962853224513,11.550738609747459,11.53418846585011,11247.198834716746,0.0,0.0,0.0,0.49159254730801577,361514540.48752946
20,6.011904892015774,1,11.230775667985702,0.0,7.000000601857643,0.0,11.401750467543348,437.1164761893738,8.202985883091937,11.499206796359214,11.205462483431527,8406.018511929824,0.0,0.0,0.0,0.2073107709988625,215976034.60749155
21,0.35511860641417836,1,11.902593191465794,0.45284924254765296,8.091040312986928,0.7731648345001465,12.269034359209787,382.7147114876826,7.914375783752772,12.307848961367245,12.18297934799767,10109.976311870963,0.0,0.0,0.0,0.6576687115327778,690421680.1119925
