,prog_mass,final_mass
0,,0.572297802621054
1,0.0013779156947935807,0.572297802621054
2,0.0011495331781855203,0.572297802621054
3,0.0011542054264594682,0.572297802621054
4,0.0026167348632443166,0.572297802621054
5,0.002114773944176716,0.572297802621054
6,0.0007541837595568364,0.572297802621054
7,0.0019149840566243955,0.572297802621054
8,0.0007496363990131759,0.572297802621054
9,0.0009694365371673352,0.572297802621054
10,0.0019340999913806634,0.572297802621054
11,0.0013592834379451226,0.572297802621054
12,0.0015462729936161883,0.572297802621054
13,0.0017104461826558703,0.572297802621054
14,0.003303215789215033,0.572297802621054
