recno,Seq,Name,ID,GaiaDR3,inrj,inrt,Prob,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,GLON,GLAT,pmRA,e_pmRA,pmDE,e_pmDE,Plx,e_Plx,pscol,e_pscol,PlxpmRACor,PlxpmDECor,pmRApmDECor,PlxpscolCor,pmRApscolCor,pmDEpscolCor,Solved,ELAT,nueff,RUWE,FidelityV1,FG,e_FG,FBP,e_FBP,FRP,e_FRP,Gmag,BPmag,RPmag,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,GRVSmag,e_GRVSmag,o_GRVSmag,Vbroad,e_Vbroad,o_Vbroad,VarFlag,NSS,RVS,Mass2.5,Mass16,Mass50,Mass84,Mass97.5,_RA.icrs,_DE.icrs
945248,945247,Stock_2,5361,458900041353511552,1,0,0.27400031617824827,35.79909358,0.20646471,58.2576272,0.2325716,134.7758751,-2.48831907,15.76257192,0.32485434,-15.07084883,0.33864743,2.43200521,0.33468363,1.2399247,0.06104261,0.24633,-0.074872,-0.20885,-0.085833,0.10764,0.20841,95,41.1349915,,1.0824615,1.0,277.33450003,0.7791544,53.07703436,4.746235,403.05927594,5.954991,19.579857,21.026276,18.234472,2.791803,1.446419,1.345385,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.29819136,0.31418337,0.33287621,0.35082633,0.36641962,35.79896041,58.2576942
945249,945248,Stock_2,5361,458908876106651136,1,1,0.553838932080373,35.97758952,0.06847034,58.4351546,0.07028969,134.8018368,-2.28927782,14.95889152,0.09798657,-13.65709899,0.0950561,2.69553651,0.10192795,,,0.17162,0.03738,-0.13733,,,,31,41.255297,1.2756209,1.0240995,1.0,1706.8662079,1.8140996,337.11151892,6.854901,2077.1277082,6.5034466,17.606869,19.019108,16.454237,2.564871,1.412239,1.152632,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.50772349,0.52240011,0.53710041,0.55413088,0.5698318,35.97746251,58.4352153
945250,945249,Stock_2,5361,458911899761074432,1,0,0.4837518861444814,36.56881225,0.2615141,58.331821,0.27662614,135.1285433,-2.27622497,15.18414474,0.37117657,-13.95185821,0.34202263,2.55611286,0.42957994,1.3282609,0.0763306,0.072093,0.087618,-0.15438,0.065716,0.19139,0.12569,95,41.0298177,,1.1067239,0.99951172,257.31488736,0.8390898,52.11740495,5.0137157,354.35090146,5.546282,19.661205,21.046085,18.374311,2.671774,1.38488,1.286894,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.28921142,0.30509611,0.32381231,0.3420026,0.35836932,36.56868371,58.331883
945251,945250,Stock_2,5361,458912032902392704,1,0,0.29060782938721785,36.71825597,0.11935836,58.2722889,0.12138252,135.2232865,-2.30357703,16.32190243,0.16162187,-15.45447628,0.15155499,2.74447811,0.18981467,,,0.1659,0.18194,-0.11612,,,,31,40.9426682,1.2501395,0.9707875,1.0,800.4196447,1.3334128,144.49318324,9.541319,1058.31710927,8.418683,18.429073,19.938923,17.186356,2.752567,1.50985,1.242718,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.42054798,0.43549385,0.45379735,0.4692484,0.48589875,36.71811803,58.2723576
945252,945251,Stock_2,5361,458913476006402816,1,1,0.5600817913065377,36.63970979,0.00760997,58.3657569,0.00812068,135.1511183,-2.23120399,15.34838321,0.0106824,-14.02052551,0.01052709,2.6744807,0.01165796,,,0.054851,0.018637,-0.10761,,,,31,41.0448125,1.4867933,0.97512805,1.0,175842.88678446,45.635056,81444.58313309,72.98734,135086.19636653,145.90588,12.574554,13.061387,11.921368,1.140019,0.486833,0.653187,7.930725,1.059159,1.0,22.0,6.0,11.67321,0.01531975,16.0,,,,NOT_AVAILABLE,0,0,1.16028437,1.21241383,1.26325225,1.30827924,1.35353679,36.63957973,58.3658192
945253,945252,Stock_2,5361,458914579820709120,1,0,0.2463673212676496,36.45560499,0.28239873,58.3131196,0.29223824,135.0796628,-2.31493542,15.45069051,0.3911605,-13.45268387,0.3618928,2.24522109,0.44229516,1.1446297,0.08104396,0.057764,0.093834,-0.15699,-0.0020796,0.16406,0.11526,95,41.0380756,,0.99110097,1.0,212.26554553,0.74234027,46.90301516,6.1785846,271.45365326,6.7907696,19.870169,21.16054,18.663656,2.496883,1.290371,1.206512,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.2682582,0.28331206,0.30034332,0.31781455,0.33576658,36.45547426,58.3131794
945254,945253,Stock_2,5361,458917259880034176,1,0,0.4880915311775012,36.56462376,0.35674956,58.4400084,0.35427678,135.0877205,-2.17599859,15.45709247,0.4775783,-14.44782525,0.43832538,2.73815169,0.5293643,1.3114862,0.09707314,0.07456,-0.0057969,-0.015982,0.077314,0.24983,0.15085,95,41.1287383,,1.1094655,0.99902344,188.21379694,0.7600593,27.9070662,3.7479954,263.59917412,5.20641,20.000738,21.724257,18.695536,3.028721,1.723518,1.305202,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.25520293,0.26893347,0.28748907,0.30080848,0.32059487,36.5644925,58.4400726
945255,945254,Stock_2,5361,458919149669273344,1,1,0.5196656877172601,36.91717508,0.05461028,58.4194303,0.05846615,135.2674274,-2.12864147,14.81233934,0.07377759,-14.12420824,0.07534405,2.56857627,0.08645052,,,0.28629,0.084179,0.098745,,,,31,41.0320382,1.2873598,0.96941996,1.0,2487.57657918,2.7607079,523.87432012,7.2107735,2941.9918154,9.39551,17.197926,18.540474,16.076292,2.464182,1.342548,1.121634,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.54535374,0.56101523,0.57819251,0.59458721,0.61164392,36.91704937,58.419493
945256,945255,Stock_2,5361,458920730214636928,1,0,0.22395366992286067,36.80351276,0.7369645,58.5245498,0.6591294,135.1738871,-2.05219158,15.16219872,1.0755532,-15.81310571,0.885959,2.36223918,1.0825437,1.3394737,0.18081759,0.25448,-0.055887,-0.19648,0.054629,0.1235,0.25369,95,41.152424,,1.1293433,0.9921875,98.64809293,0.7280696,30.39454641,5.086083,141.15100278,6.067645,20.702145,21.631554,19.373686,2.257868,0.929409,1.328459,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.19232042,0.21810309,0.23223109,0.25,0.25,36.80338369,58.5246201
945257,945256,Stock_2,5361,458923341557296128,1,0,0.40639950192229185,36.63450446,0.13715297,58.5070205,0.13922638,135.097811,-2.10034063,14.11263515,0.19896552,-14.08661946,0.17509677,2.62134641,0.20968121,1.2357098,0.03778055,-0.081999,0.022396,-0.12715,-0.011756,0.30651,0.021256,95,41.1739281,,0.9885497,1.0,563.50806289,1.1291844,80.07024702,5.8324623,780.34689977,7.08705,18.810116,20.579865,17.517176,3.062689,1.769749,1.29294,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.38279731,0.39440508,0.41211882,0.42722579,0.44847068,36.6343844,58.5070831
