recno,Seq,Name,ID,GaiaDR3,inrj,inrt,Prob,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,GLON,GLAT,pmRA,e_pmRA,pmDE,e_pmDE,Plx,e_Plx,pscol,e_pscol,PlxpmRACor,PlxpmDECor,pmRApmDECor,PlxpscolCor,pmRApscolCor,pmDEpscolCor,Solved,ELAT,nueff,RUWE,FidelityV1,FG,e_FG,FBP,e_FBP,FRP,e_FRP,Gmag,BPmag,RPmag,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,GRVSmag,e_GRVSmag,o_GRVSmag,Vbroad,e_Vbroad,o_Vbroad,VarFlag,NSS,RVS,Mass2.5,Mass16,Mass50,Mass84,Mass97.5,_RA.icrs,_DE.icrs
349739,349738,Melotte_25,4424,11771719380131328,0,0,0.24532315900140775,52.96430982,0.02424856,8.95858728,0.0190516,175.7261345,-36.9711304,248.48296467,0.03609784,-43.13781316,0.02523297,36.1816909,0.02893535,,,0.35244,-0.13203,0.03926,,,,31,-9.8334876,1.2666095,1.3267344,1.0,129349.63013787,61.07243,23528.29200347,54.505062,163365.96151685,144.69037,12.907954,14.409566,11.714992,2.694574,1.501612,1.192963,42.361496,0.632256,1.0,12.0,1.0,11.148423,0.0155247,11.0,,,,NOT_AVAILABLE,0,1,0.49548478,0.50240907,0.50994557,0.51540345,0.52394942,52.96319182,8.958779
349740,349739,Melotte_25,4424,13434421479476352,0,0,0.30310885984779,53.92984332,0.03012972,11.5561064,0.02397627,174.2637491,-34.4729988,165.8708174,0.03797869,-8.93956617,0.02914178,26.09968635,0.03609205,,,0.21195,-0.082629,0.18178,,,,31,-7.53937357,1.2926508,1.5943671,1.0,212007.41871239,112.27907,48088.1425143,145.79506,277975.67559833,465.32535,12.37149,13.633448,11.137878,2.495569,1.261958,1.233611,33.73701,0.831429,1.0,2.0,0.0,10.61862,0.02152778,2.0,,,,NOT_AVAILABLE,0,0,0.54827385,0.54953429,0.55922814,0.56328731,0.57417992,53.92909087,11.5561461
349741,349740,Melotte_25,4424,34762198279394048,0,0,0.258038660422354,46.4123814,0.08277096,16.9760495,0.07016909,163.2333754,-35.1866696,179.55385501,0.09016747,-13.6153265,0.08384316,23.89188383,0.10016178,,,0.21633,0.12906,0.36575,,,,31,-0.44032306,1.1919217,1.195349,1.0,4861.46237488,5.8995047,397.92017891,7.766468,7357.96521722,16.24101,16.47045,18.839052,15.081001,3.758051,2.368603,1.389448,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.17201183,0.17861318,0.1829262,0.18837515,0.19421238,46.41154703,16.9761101
349742,349741,Melotte_25,4424,34772746719056128,0,0,0.270914679218006,46.61014398,0.02772372,17.2247003,0.02386311,163.2347566,-34.8743328,204.32692581,0.03496231,-21.37144997,0.02824228,27.42513814,0.03132428,,,-0.16501,0.16653,-0.0034274,,,,31,-0.25291722,1.2456219,1.5046325,1.0,48535.87075995,25.794878,7433.36032585,26.440445,64460.97013908,63.893562,13.97221,15.66058,12.724653,2.935926,1.68837,1.247557,28.722982,2.269799,2.0,12.0,3.0,12.121022,0.03165932,10.0,,,,NOT_AVAILABLE,0,0,0.38673161,0.38955669,0.39805631,0.40382708,0.41429137,46.60919322,17.2247953
349743,349742,Melotte_25,4424,36629890579758592,1,0,0.3644722516076954,58.14386574,0.02443521,11.2607491,0.01843383,177.9072998,-31.6741981,176.81485071,0.03218534,-8.58892209,0.02378052,28.87161148,0.02750342,,,0.023306,-0.14339,0.13155,,,,31,-8.75428424,1.27948,1.6248798,1.0,169662.02554705,86.42244,33891.79303323,56.467907,209669.83826738,187.98592,12.613405,14.013306,11.444056,2.56925,1.3999,1.16935,36.24641,0.600646,1.0,22.0,6.0,10.895165,0.01295724,16.0,,,,NOT_AVAILABLE,0,1,0.52568046,0.52774227,0.5364843,0.54108701,0.55173605,58.14306447,11.2607873
349744,349743,Melotte_25,4424,36955414740605824,0,0,0.37280690975239167,56.88220525,0.16557328,12.0196657,0.10862067,176.2648629,-32.0710724,142.46031291,0.18464789,-9.13868058,0.13288595,23.91112793,0.18502288,,,0.14012,-0.088744,0.15164,,,,31,-7.74650214,1.1778723,2.729338,1.0,4949.33730211,3.9146962,349.85213309,6.839374,7874.32605268,15.84898,16.450998,18.97883,15.007362,3.971468,2.527832,1.443636,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.17311513,0.17981065,0.18410525,0.18949944,0.19536389,56.8815579,12.0197063
349745,349744,Melotte_25,4424,37414254686537344,0,0,0.2805573976310867,55.63349317,0.01701815,12.2728712,0.01459797,175.0505583,-32.7808769,196.90788588,0.02556546,-8.95884136,0.01885267,30.28543203,0.01973977,,,0.11655,0.080672,0.026786,,,,31,-7.22762704,1.243726,1.3040526,1.0,97018.07950682,67.340904,14883.88813314,37.495155,129927.56980337,188.92595,13.220235,14.906752,11.963642,2.94311,1.686517,1.256593,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.46544455,0.46798521,0.478228,0.48431418,0.49726288,55.63259755,12.2729111
349746,349745,Melotte_25,4424,38329666836450304,1,0,0.4880201794470865,59.5604422,0.03966829,12.627969,0.02941088,177.7996176,-29.7296293,129.7070955,0.05473537,-12.25630151,0.03928214,21.94775521,0.04448686,,,-0.086574,-0.36166,0.26555,,,,31,-7.70505534,1.2232947,1.2253011,1.0,17434.06588941,8.841557,2196.28980052,10.608969,24293.42577201,26.84734,15.08387,16.984318,13.784174,3.200144,1.900448,1.299696,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.27649713,0.2784767,0.28609382,0.29137062,0.30604521,59.55985143,12.6280235
349747,349746,Melotte_25,4424,38354680725946240,1,0,0.393240701611724,58.75660281,0.01440821,12.4855408,0.01064748,177.3156517,-30.4082183,131.17406424,0.01853503,-10.25528253,0.01359913,21.77744563,0.01643418,,,0.020614,-0.24615,0.23976,,,,31,-7.6829799,1.4582038,1.2162788,1.0,2329675.40874869,638.5565,996986.34769677,739.2331,1892141.19980205,950.21875,9.769129,10.341819,9.055511,1.286307,0.57269,0.713617,36.07217,0.199758,1.0,16.0,5.0,8.797584,0.00754785,10.0,11.488963,1.1766043,10.0,NOT_AVAILABLE,0,0,0.81097306,0.81609136,0.82943148,0.8373353,0.85256504,58.75600569,12.4855863
349748,349747,Melotte_25,4424,38670343642226816,1,0,0.4227180942544003,58.44439928,0.03222377,13.3919248,0.0203248,176.3042224,-30.0206541,148.26057936,0.03970903,-13.88278994,0.02560932,24.1867091,0.03564909,,,0.18774,-0.051655,0.069067,,,,31,-6.73303138,1.2243224,1.220758,1.0,22500.0703294,15.265551,2851.48801859,14.777033,31425.39955638,51.770054,14.806908,16.700863,13.504693,3.19617,1.893955,1.302215,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.29929037,0.3057472,0.31379172,0.3196869,0.33016774,58.44372193,13.3919865
