recno,Seq,Name,ID,GaiaDR3,inrj,inrt,Prob,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,GLON,GLAT,pmRA,e_pmRA,pmDE,e_pmDE,Plx,e_Plx,pscol,e_pscol,PlxpmRACor,PlxpmDECor,pmRApmDECor,PlxpscolCor,pmRApscolCor,pmDEpscolCor,Solved,ELAT,nueff,RUWE,FidelityV1,FG,e_FG,FBP,e_FBP,FRP,e_FRP,Gmag,BPmag,RPmag,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,GRVSmag,e_GRVSmag,o_GRVSmag,Vbroad,e_Vbroad,o_Vbroad,VarFlag,NSS,RVS,Mass2.5,Mass16,Mass50,Mass84,Mass97.5,_RA.icrs,_DE.icrs
10214,10213,Alessi_13,76,4733385192366487424,0,0,0.5963071211300431,48.3743583,0.03310095,-56.4586232,0.03140806,272.0507938,-51.2904584,38.94863892,0.04481975,4.18675405,0.04150461,10.08155885,0.03563696,,,0.23287,-0.12591,0.087382,,,,31,-68.2795745,1.2152233,1.0664533,1.0,6655.13374912,5.160824,754.04089289,7.5619698,9527.3600772,18.200514,16.129475,18.145056,14.800464,3.344592,2.015581,1.329011,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.17588871,0.19481848,0.2275396,0.26589267,0.29769255,48.37404501,-56.4586418
10215,10214,Alessi_13,76,4734504112949828992,0,0,0.5904379715555479,46.19903487,0.00997582,-55.0330088,0.01062414,271.2829431,-53.1096602,40.46818275,0.01122977,2.19010416,0.01334982,10.37703782,0.01170033,,,0.16356,-0.042682,0.10893,,,,31,-66.4047416,1.3731498,1.1838577,1.0,262706.08499847,258.2939,85216.78663688,318.19507,259368.99809048,618.7736,12.138692,13.012229,11.2131,1.799128,0.873537,0.925591,16.145813,1.397528,1.0,32.0,3.0,10.822471,0.02235525,29.0,31.710066,20.144028,11.0,NOT_AVAILABLE,0,1,0.70277569,0.72760582,0.76834885,0.79049205,0.83991794,46.19872104,-55.0330186
10216,10215,Alessi_13,76,4739913851893729152,0,0,0.5945763566666861,37.58728476,0.01275998,-55.4129856,0.01341299,277.4208394,-56.5408073,43.87763152,0.01599363,-3.05814505,0.01812952,10.602447,0.01483022,,,-0.0033318,-0.16683,-0.11422,,,,31,-63.260661,1.2649372,1.3191189,1.0,53010.59007867,47.173996,9662.42253345,44.47319,67330.64941178,141.04834,13.87646,15.375827,12.677363,2.698463,1.499367,1.199097,18.417595,2.993377,2.0,28.0,9.0,12.083197,0.02097588,21.0,,,,NOT_AVAILABLE,0,1,0.45448245,0.52563815,0.57663056,0.61855984,0.6440244,37.58694122,-55.412972
10217,10216,Alessi_13,76,4740872694752650752,0,1,0.6298211842972261,43.8979961,0.03001151,-53.8648506,0.03199386,271.0270055,-54.8792168,40.59670093,0.0381856,-0.08855296,0.0443652,10.25954743,0.03512388,,,-0.052587,-0.20839,-0.096264,,,,31,-64.639001,1.2181649,1.238825,1.0,8443.2677756,12.2398615,1009.6763276,15.127126,11978.7745212,46.689457,15.871091,17.828087,14.551865,3.276222,1.956996,1.319226,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.19497509,0.21744974,0.25429438,0.29437976,0.33195112,43.89769013,-53.8648502
10218,10217,Alessi_13,76,4747940596014525312,0,1,0.6932264780244972,43.10984851,0.01230067,-52.4187731,0.01350383,269.4815859,-56.1236692,42.71121688,0.01502857,-1.04969406,0.01700252,10.68410291,0.01499065,,,0.23876,-0.12606,-0.0016776,,,,31,-63.238249,1.268108,1.6859292,1.0,105174.96902773,42.65104,19341.23229553,39.607246,132928.25084975,93.68269,13.132586,14.622332,11.938852,2.683479,1.489746,1.193733,17.62185,7.608187,1.0,36.0,4.0,11.386545,0.01286209,32.0,6.780557,13.251299,20.0,NOT_AVAILABLE,0,1,0.61171017,0.66650165,0.69379625,0.708844,0.72331233,43.10953726,-52.4187684
10219,10218,Alessi_13,76,4749917414841831296,0,1,0.6299243497019942,49.11420889,0.03775164,-48.4229757,0.0403026,259.9927303,-54.8232008,40.88548708,0.04578881,0.4609558,0.04990855,10.65700044,0.04460172,,,0.065464,-0.031387,-0.10334,,,,31,-62.3631128,1.2066767,1.0789549,1.0,5626.32846892,6.0635414,598.00837769,14.493332,8222.9306878,25.331656,16.311804,18.396774,14.960329,3.436445,2.084971,1.351475,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.16515262,0.18018278,0.2097776,0.24662091,0.27626687,49.11393507,-48.4229778
10220,10219,Alessi_13,76,4750802006306160768,0,1,0.7090778784362731,48.36817812,0.03821991,-47.1654668,0.04750015,258.3203267,-55.7857158,40.38469434,0.04521332,-0.53094958,0.06229633,10.59665644,0.04816012,,,0.082292,-0.12995,-0.082597,,,,31,-61.0384065,1.2027776,0.9846028,1.0,3206.58413424,3.0066566,328.65306853,9.414438,4713.26643563,13.627273,16.92226,19.046698,15.56459,3.482107,2.124437,1.35767,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.12817276,0.14192557,0.16155956,0.18908364,0.21596894,48.36791412,-47.1654645
10221,10220,Alessi_13,76,4751735045001671936,0,1,0.6625931258970418,41.78160284,0.02187528,-49.2435645,0.02403274,265.5749598,-58.6451905,47.16939443,0.02737694,-3.31460715,0.03262853,11.29632002,0.02747092,,,0.269,-0.13993,-0.076696,,,,31,-60.2284984,1.2385674,1.1022573,1.0,13406.0051684,9.240987,1932.09819372,11.642199,18116.02361532,33.54382,15.369119,17.123468,14.102738,3.02073,1.75435,1.26638,,,,,,,,,,,,VARIABLE,0,0,0.25026942,0.27105011,0.3135376,0.36531569,0.41842929,41.78128172,-49.2435497
10222,10221,Alessi_13,76,4754374800621153664,0,1,0.5929937238884503,47.46588871,0.02019058,-44.4915872,0.02257965,254.2364951,-57.363041,35.50423622,0.02431999,-2.05609483,0.03003094,9.09993724,0.02640574,,,0.17795,-0.23398,-0.15135,,,,31,-58.4373201,1.2460252,1.0892351,1.0,13159.65684755,6.853778,2009.13410768,10.119264,17452.27686918,19.386211,15.389256,17.08102,14.143266,2.937755,1.691765,1.24599,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.24757582,0.26831594,0.31139923,0.36190395,0.41551768,47.46566751,-44.4915781
10223,10222,Alessi_13,76,4755198025592857088,0,1,0.8505621678821695,43.21327685,0.01699366,-43.9783134,0.01854428,255.5712363,-60.3746495,40.91802329,0.01937912,-4.95034861,0.02459683,10.08745198,0.02149849,,,0.045607,-0.11857,-0.2169,,,,31,-56.4165351,1.2528796,1.1244174,1.0,18001.38347145,9.026179,2972.68929024,11.297825,23520.68876569,23.898218,15.049102,16.655668,13.81927,2.836398,1.606566,1.229832,6.162275,6.370263,2.0,17.0,7.0,13.151332,0.0811487,12.0,,,,NOT_AVAILABLE,0,0,0.28415242,0.32191719,0.35861945,0.43023806,0.46152107,43.21302413,-43.9782914
