recno,Seq,Name,ID,GaiaDR3,inrj,inrt,Prob,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,GLON,GLAT,pmRA,e_pmRA,pmDE,e_pmDE,Plx,e_Plx,pscol,e_pscol,PlxpmRACor,PlxpmDECor,pmRApmDECor,PlxpscolCor,pmRApscolCor,pmDEpscolCor,Solved,ELAT,nueff,RUWE,FidelityV1,FG,e_FG,FBP,e_FBP,FRP,e_FRP,Gmag,BPmag,RPmag,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,GRVSmag,e_GRVSmag,o_GRVSmag,Vbroad,e_Vbroad,o_Vbroad,VarFlag,NSS,RVS,Mass2.5,Mass16,Mass50,Mass84,Mass97.5,_RA.icrs,_DE.icrs
460359,460358,NGC_2632,4598,602557562006125696,0,0,0.21508025195336025,128.8953471,0.11193895,12.1209283,0.0842206,213.5064202,28.534149,-31.21703435,0.1326837,-6.06274185,0.10697935,4.74373151,0.13254564,,,0.25484,-0.12104,-0.30123,,,,31,-6.31743267,1.2365671,1.1469724,1.0,1589.61565035,2.6292784,214.89683855,11.511926,2109.38790349,12.009306,17.684137,19.507967,16.437504,3.070463,1.82383,1.246634,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.28421735,0.30882704,0.318233,0.32727257,0.34302521,128.895489,12.1209552
460360,460359,NGC_2632,4598,602683520510600064,0,0,0.21007075010765908,127.7500947,0.16782285,11.9785524,0.11056496,213.127289,27.4558881,-28.67775115,0.21229294,-6.03271399,0.1427532,4.66324415,0.2079211,,,0.4508,-0.24755,-0.24457,,,,31,-6.73340899,1.2319479,0.99738574,1.0,868.78164129,1.7694554,120.52504812,7.8588266,1179.19157249,10.3079605,18.34009,20.135849,17.068935,3.066914,1.795759,1.271154,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.23296913,0.24812784,0.25484679,0.26324754,0.28813002,127.750225,11.9785792
460361,460360,NGC_2632,4598,602814843431122816,0,0,0.2148305107618896,128.3730199,0.01216341,12.4246505,0.0077732,212.9525728,28.1946907,-29.25039192,0.01392172,-6.0646538,0.00949779,4.47101348,0.01319435,,,0.25435,-0.25833,-0.19037,,,,31,-6.15085084,1.499323,0.89653194,1.0,194496.9084862,57.022976,92925.03118962,115.70485,143407.20580844,117.86084,12.465085,12.91821,11.856468,1.061742,0.453125,0.608617,35.839333,1.970349,1.0,15.0,6.0,11.644573,0.0205688,9.0,,,,NOT_AVAILABLE,0,0,0.84477515,0.84770533,0.86350197,0.87449094,0.90004555,128.373153,12.4246774
460362,460361,NGC_2632,4598,602816943670996608,0,0,0.2121028273655068,128.4151769,0.06177373,12.4818943,0.03913621,212.9125811,28.255763,-28.1823028,0.07359362,-5.93192953,0.05035256,4.32778058,0.0690476,,,0.21298,-0.30322,-0.018568,,,,31,-6.0851741,1.2748618,1.035925,1.0,4212.21590837,4.0293474,821.53014658,9.362087,5240.20420933,16.36915,16.626091,18.051983,15.449525,2.602458,1.425892,1.176566,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.40373662,0.41663885,0.4268107,0.43514248,0.44770624,128.4153052,12.4819207
460363,460362,NGC_2632,4598,603482040830711040,0,0,0.23393091576157612,129.3995527,0.03200768,14.4545372,0.02292598,211.2884091,29.9271735,-31.61315613,0.03953225,-8.24021776,0.02768609,4.72484257,0.03940203,,,0.44439,-0.29687,-0.29089,,,,31,-3.9355047,1.3196044,1.1579828,1.0,12072.86758028,5.099235,3056.78747835,16.50755,13571.32839356,21.759062,15.482841,16.62538,14.41634,2.20904,1.142539,1.066501,15.713707,8.372355,2.0,9.0,0.0,14.038149,0.13262662,10.0,,,,NOT_AVAILABLE,0,0,0.52172718,0.5328432,0.54168844,0.54936163,0.56472142,129.3996977,14.4545738
460364,460363,NGC_2632,4598,609424699316025344,0,0,0.23588989119952897,130.0441451,0.04391609,14.3069394,0.02577002,211.7308865,30.4423087,-35.75570566,0.05540736,-9.05593495,0.040246,5.31913266,0.05228163,,,0.32837,-0.2017,-0.27012,,,,31,-3.9191341,1.278303,1.0348508,1.0,6338.38794078,5.2770395,1259.96891749,11.035233,7825.01351642,18.63462,16.18242,17.587643,15.014183,2.57346,1.405222,1.168238,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.45244902,0.4645152,0.4735915,0.48353184,0.49701814,130.0443091,14.3069797
460365,460364,NGC_2632,4598,609661300474220416,1,0,0.2887342068562076,130.7094977,0.01462948,15.4493386,0.00695733,210.7976,31.4806333,-37.00820762,0.01671592,-9.55560431,0.01230394,5.45420753,0.01676484,,,0.33627,-0.096046,-0.23863,,,,31,-2.64947138,1.4581847,1.1228527,1.0,150308.5464674,33.52153,64830.63066224,51.763275,120898.87129838,74.502045,12.744907,13.309092,12.04184,1.267252,0.564184,0.703068,35.10338,0.751322,1.0,26.0,3.0,11.7590685,0.02224884,23.0,,,,VARIABLE,0,0,0.80673966,0.80915131,0.82482281,0.83484713,0.85720228,130.7096684,15.449381
460366,460365,NGC_2632,4598,609665939038899456,1,0,0.22372686872226397,130.5963156,0.03808793,15.5356671,0.01744129,210.6549762,31.4132254,-36.65248626,0.04266255,-9.39080473,0.03447457,5.02072192,0.04239461,,,0.17261,-0.14749,-0.27042,,,,31,-2.59439232,1.2986197,1.0536917,1.0,8213.14776954,3.5455875,1858.77456243,6.4399543,9674.14997436,9.130616,15.901093,17.165476,14.783863,2.381613,1.264383,1.11723,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.48167647,0.49535767,0.50291743,0.51293471,0.52261761,130.5964847,15.5357088
460367,460366,NGC_2632,4598,609748505490474752,0,0,0.2706215742062197,131.8844115,0.06645768,14.9213441,0.03758972,211.88863,32.3212179,-37.3490531,0.08098803,-8.99844272,0.0573807,5.40059473,0.08046045,,,0.45463,-0.23935,-0.26735,,,,31,-2.8608973,1.2286733,1.1717278,1.0,3661.03338015,4.715561,500.66980289,10.939478,5170.11424158,11.999671,16.778358,18.589664,15.464145,3.12552,1.811306,1.314214,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.38678737,0.40017657,0.41048192,0.41925968,0.43143332,131.8845833,14.9213841
460368,460367,NGC_2632,4598,609760119082030592,0,0,0.24193668631087642,131.9300032,0.17892009,15.1225666,0.1061254,211.6893873,32.440034,-37.13984396,0.2134293,-9.07906554,0.16125588,5.53289907,0.21537726,1.0891248,0.03688999,0.37775,-0.19196,-0.33269,0.013975,-0.0030479,0.01579,95,-2.65521127,,0.9783664,1.0,605.36697337,1.1410494,76.76283475,7.5873685,880.61776565,7.848069,18.73232,20.625664,17.385927,3.239737,1.893343,1.346394,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.19961714,0.22005982,0.22579116,0.23325476,0.25157845,131.9301741,15.1226069
460369,460368,NGC_2632,4598,609835229470198144,0,0,0.22060245665219078,132.7236726,0.01395335,15.3842522,0.0070466,211.7543903,33.2473793,-38.08438047,0.017428,-13.29882133,0.01136454,5.41538633,0.01654722,,,0.40949,-0.19793,-0.15545,,,,31,-2.19782949,1.5635314,0.9432255,1.0,1231760.07880051,164.21985,671131.24019376,144.97502,803801.48476671,146.67105,10.461052,10.771523,9.985024,0.7865,0.310472,0.476028,24.434017,0.249342,1.0,24.0,6.0,9.797985,0.00583963,15.0,,,,NOT_AVAILABLE,0,0,1.19206646,1.20327773,1.22811807,1.25191491,1.29379555,132.7238481,15.3843113
460370,460369,NGC_2632,4598,609857047904101248,0,0,0.25858254659580465,133.1274819,0.01562881,15.5829216,0.00760936,211.7136693,33.6829894,-38.51851878,0.01801796,-9.364981,0.01243864,5.53868449,0.01751306,,,0.22999,-0.1569,-0.14262,,,,31,-1.90110778,1.4968674,1.1487019,1.0,280567.93269108,106.44267,133666.85354464,156.46442,208666.49889207,186.79091,12.067272,12.523483,11.449264,1.07422,0.456211,0.618009,33.534393,0.65851,1.0,27.0,5.0,11.218042,0.01350782,22.0,10.853696,8.382266,21.0,NOT_AVAILABLE,0,0,0.90170407,0.90510433,0.92285922,0.93647373,0.96492249,133.1276597,15.5829632
460371,460370,NGC_2632,4598,610086944617465088,1,0,0.24635835533452308,131.3310153,0.21657804,16.1193861,0.10101934,210.337582,32.2893933,-36.60466624,0.24224512,-9.78596945,0.16845566,5.00442542,0.24786179,1.0946972,0.04064194,0.37676,-0.16405,-0.19825,0.17089,0.22429,0.0087269,95,-1.84643709,,0.91142654,1.0,540.13497667,1.0100311,75.75861883,6.469626,782.41280364,7.236498,18.856112,20.639961,17.514305,3.125656,1.78385,1.341806,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.19040146,0.21098283,0.21630213,0.22401646,0.24228025,131.3311846,16.1194295
460372,460371,NGC_2632,4598,610136701814354560,1,0,0.2723835327995896,132.4513172,0.01277609,16.1309319,0.00668476,210.8092885,33.2899697,-36.69551065,0.01588275,-9.32717442,0.0111722,5.27121168,0.01388422,,,0.154,-0.19558,-0.13728,,,,31,-1.5493363,1.4925895,1.0001433,1.0,229504.99660981,133.4901,107862.46783117,214.83215,172005.92881214,254.20316,12.285386,12.756367,11.659037,1.09733,0.470981,0.626349,33.122604,0.594865,1.0,17.0,4.0,11.41997,0.01603426,12.0,5.8172092,8.93939,11.0,VARIABLE,0,1,0.86913774,0.87280088,0.8900568,0.90186405,0.92860772,132.451487,16.1309733
460373,460372,NGC_2632,4598,610158378513683712,1,0,0.2920415682879332,132.3347301,0.10286648,16.4484229,0.05714408,210.4069767,33.3058053,-37.23459911,0.12374118,-9.90381172,0.09880771,5.5600643,0.11255521,,,0.20783,-0.038867,-0.39052,,,,31,-1.27350414,1.2193376,1.0089287,1.0,1501.89085143,2.0278924,176.06692721,8.054915,2102.50058425,9.548919,17.745771,19.724348,16.441055,3.283293,1.978577,1.304716,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.27777647,0.30204845,0.31155605,0.3206414,0.33653033,132.3349027,16.4484669
460374,460373,NGC_2632,4598,610194662397070080,1,0,0.3194716690667559,131.8484522,0.13759427,16.413644,0.07733041,210.2365556,32.8604217,-38.80413505,0.17221814,-11.60702535,0.13670304,5.60658296,0.15301767,,,0.40201,-0.37541,-0.42058,,,,31,-1.43142201,1.2354482,1.0647664,1.0,1113.4342419,1.4377292,141.83405177,6.5133224,1532.60604705,8.5225935,18.070705,19.959091,16.784319,3.174772,1.888386,1.286386,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.24507661,0.27202607,0.27982078,0.28795186,0.30213151,131.848632,16.4136956
460375,460374,NGC_2632,4598,610194902914961664,1,0,0.3423458093545041,131.8086626,0.01704875,16.3964326,0.00994262,210.2384708,32.8185819,-37.48837026,0.02019222,-10.70989737,0.01621471,5.44635644,0.01969892,,,0.29616,-0.35931,-0.31771,,,,31,-1.45814521,1.574247,1.1571887,1.0,1175527.92711388,518.99506,651753.27019109,870.9171,748837.26915,703.64886,10.511785,10.803334,10.061927,0.741407,0.29155,0.449858,34.18545,0.457242,1.0,19.0,5.0,9.886655,0.00869344,11.0,11.281532,6.739292,11.0,NOT_AVAILABLE,0,0,1.18112815,1.19230287,1.21674847,1.23977642,1.28155461,131.8088362,16.3964802
460376,460375,NGC_2632,4598,610609831115899776,0,0,0.22653138072076223,133.8665537,0.12452143,15.6955228,0.06599063,211.9164648,34.3836793,-36.53366592,0.1607574,-8.72007109,0.12404238,5.3069268,0.14463557,,,0.26068,-0.19151,-0.32887,,,,31,-1.59786007,1.2249864,0.97577924,1.0,973.81654352,1.1820394,130.04499137,6.9804215,1343.17642318,9.362607,18.216173,20.053308,16.927563,3.125746,1.837135,1.28861,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.23486695,0.25879461,0.26624751,0.27454997,0.29053484,133.8667223,15.6955616
460377,460376,NGC_2632,4598,611189243679293056,0,0,0.2166199481567965,135.6648486,0.12449405,17.0471232,0.08317947,211.1702668,36.4893992,-40.82016748,0.15519276,-10.2018565,0.11179244,5.5501204,0.13949606,,,0.11272,-0.061779,-0.14729,,,,31,0.18294419,1.2379909,1.0210959,1.0,1223.99658389,1.8773574,210.80588164,21.242527,1651.67384894,22.078838,17.967916,19.528835,16.703085,2.82575,1.560919,1.264832,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.25498566,0.28077706,0.28934978,0.29712462,0.31295631,135.6650384,17.0471685
460378,460377,NGC_2632,4598,611194290265649024,0,0,0.21487113563636867,135.6209583,0.10838122,17.1838179,0.07504929,210.9929256,36.5003433,-36.75470532,0.13392392,-11.49767246,0.10696657,5.4753731,0.12607366,,,0.27579,-0.069223,-0.24157,,,,31,0.30206361,1.2320583,1.0381138,1.0,1284.16562548,1.7440567,188.70729591,10.480975,1761.09996106,13.0676985,17.915813,19.64907,16.633436,3.015634,1.733257,1.282377,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.26043563,0.28608502,0.29427379,0.30254162,0.31848899,135.6211293,17.183869
460379,460378,NGC_2632,4598,611694572352053504,1,0,0.2513647880227973,133.377462,0.01618118,16.9885019,0.0090658,210.2503065,34.4336643,-38.56180937,0.01917644,-9.25840584,0.01524843,5.41395308,0.01920512,,,0.2659,-0.045262,-0.35352,,,,31,-0.48335646,1.6227907,1.0973752,1.0,3365110.86473444,543.5712,2032359.68449029,537.56323,1945303.37783243,509.73276,9.369868,9.568541,9.025427,0.543114,0.198672,0.344441,33.263016,0.313124,1.0,23.0,11.0,8.8850355,0.00578434,7.0,26.69641,3.0646548,7.0,NOT_AVAILABLE,0,0,1.4538106,1.4811998,1.51556374,1.55435088,1.6120598,133.3776412,16.9885431
