recno,Seq,Name,ID,GaiaDR3,inrj,inrt,Prob,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,GLON,GLAT,pmRA,e_pmRA,pmDE,e_pmDE,Plx,e_Plx,pscol,e_pscol,PlxpmRACor,PlxpmDECor,pmRApmDECor,PlxpscolCor,pmRApscolCor,pmDEpscolCor,Solved,ELAT,nueff,RUWE,FidelityV1,FG,e_FG,FBP,e_FBP,FRP,e_FRP,Gmag,BPmag,RPmag,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,GRVSmag,e_GRVSmag,o_GRVSmag,Vbroad,e_Vbroad,o_Vbroad,VarFlag,NSS,RVS,Mass2.5,Mass16,Mass50,Mass84,Mass97.5,_RA.icrs,_DE.icrs
465070,465069,NGC_2682,4606,598480504169934336,0,0,0.15138013989298524,132.6523459,0.08769736,10.3658667,0.05112784,217.1344257,31.1335107,-10.5238357,0.1268511,-2.61896288,0.08457623,1.04781646,0.11937388,,,0.42355,-0.32634,-0.162,,,,31,-7.04772118,1.3574046,1.006066,1.0,1480.60377735,1.1171614,456.24478517,8.137881,1498.73737,8.377097,17.76127,18.690548,16.808582,1.881966,0.929277,0.952688,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.62453459,0.62642938,0.63346338,0.638033,0.65570399,132.6523934,10.3658784
465071,465070,NGC_2682,4606,598546371788334080,0,0,0.15311727738838687,132.027591,0.01732164,10.5709601,0.010123,216.6108611,30.6669575,-10.539363,0.02104301,-2.52891228,0.01644744,1.12522112,0.01993514,,,0.21566,-0.17166,-0.20496,,,,31,-7.01608318,1.5538815,1.0130078,1.0,33672.1373338,6.652893,18033.55887565,15.399855,22310.82026711,17.711124,14.36919,14.698338,13.876607,0.821732,0.329148,0.492583,34.495296,3.610064,2.0,27.0,4.0,13.599353,0.06231413,23.0,,,,NOT_AVAILABLE,0,0,1.02367929,1.04803196,1.06847036,1.08897684,1.12519141,132.0276386,10.5709713
465072,465071,NGC_2682,4606,598591692283221248,1,0,0.18077639310709878,132.8870004,0.0133716,10.7912749,0.00817808,216.8005887,31.5244865,-10.44818575,0.01748049,-2.5332079,0.01252804,1.12258144,0.01697896,,,0.42367,-0.23364,-0.2669,,,,31,-6.57560744,1.5685247,0.9870105,1.0,57174.9282342,8.950587,31387.70375392,16.217407,36838.72431874,17.10142,13.794353,14.096643,13.332134,0.764509,0.302291,0.462218,34.38241,3.033641,2.0,27.0,2.0,13.159213,0.04054806,25.0,,,,NOT_AVAILABLE,0,0,1.11614122,1.14731267,1.17565328,1.19778518,1.24336028,132.8870476,10.7912862
465073,465072,NGC_2682,4606,598592997953383424,1,0,0.16304308468452877,133.2304226,0.01398331,10.5780533,0.00748947,217.1967713,31.7379331,-10.75572443,0.01929648,-2.49343412,0.01369882,1.14172096,0.01754129,,,0.23226,0.027972,-0.27137,,,,31,-6.68843736,1.5697846,1.0294125,1.0,66916.28320494,10.0131855,36823.92098998,18.723778,42978.16984422,22.639906,13.623537,13.923217,13.164776,0.758441,0.29968,0.458761,37.52583,2.835056,2.0,39.0,5.0,12.913158,0.04338807,34.0,,,,NOT_AVAILABLE,0,0,1.14496052,1.17847073,1.20951,1.23247055,1.28241628,133.2304713,10.5780644
465074,465073,NGC_2682,4606,598605053926119168,1,0,0.16308792966747804,133.3613415,0.39104164,10.7602706,0.22801006,217.0680441,31.9323431,-10.72460757,0.54905325,-3.31141904,0.43394604,1.25896697,0.54167855,1.1996446,0.08082289,0.36761,-0.29513,-0.39695,-0.2804,-0.064277,0.22333,95,-6.47789648,,1.0091985,0.8984375,178.46667591,0.6572856,52.49528986,5.179132,209.3199635,5.606933,20.058474,21.03824,18.94587,2.092371,0.979767,1.112604,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.40329253,0.40394156,0.41094061,0.41490348,0.43312553,133.3613901,10.7602854
465075,465074,NGC_2682,4606,598606707488971648,1,0,0.16304308468452877,133.3470302,0.07455409,10.8306166,0.04231813,216.9860363,31.949757,-11.4733471,0.10458032,-2.89149652,0.07282526,1.27747219,0.10136376,,,0.32984,-0.16524,-0.27082,,,,31,-6.41412237,1.3647231,0.9926644,1.0,1936.57881654,1.3248618,617.50680347,6.2871904,1900.86071714,8.3118515,17.469778,18.361938,16.55052,1.811418,0.89216,0.919258,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.65044482,0.6527673,0.66055687,0.66489131,0.68318492,133.3470821,10.8306295
465076,465075,NGC_2682,4606,598609181389521792,1,0,0.20132811197901637,133.4256075,0.11408307,10.9280618,0.06526064,216.9210459,32.0611694,-10.88173847,0.17118135,-2.60686956,0.10890912,1.13423309,0.16720022,,,0.41968,-0.37441,-0.20816,,,,31,-6.29921736,1.3274806,1.0231044,0.98925781,998.661727,1.0541549,270.84592642,7.03822,1081.27412109,8.614021,18.188822,19.256737,17.163055,2.093681,1.067915,1.025766,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.58658761,0.58742968,0.5946938,0.59897685,0.61627483,133.4256568,10.9280734
465077,465076,NGC_2682,4606,598616706172696320,1,0,0.2336630260454256,133.1373187,0.17590591,10.8893965,0.10645825,216.8198037,31.7886895,-10.97259012,0.24671136,-2.91231587,0.20286417,1.16395635,0.22695763,1.3416518,0.03879069,0.23946,0.026765,-0.36814,-0.08221,0.021547,0.16747,95,-6.41407436,,1.0335158,0.96533203,492.51074285,0.8415636,118.45686488,6.8787217,585.43404615,7.068919,18.956327,20.154642,17.8292,2.325441,1.198315,1.127127,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.51725272,0.51725272,0.52396889,0.52719971,0.54363743,133.1373683,10.8894095
465078,465077,NGC_2682,4606,598619935988243840,1,0,0.20979064502957898,133.2846862,0.03093432,10.921559,0.01688788,216.858313,31.9332735,-11.22650815,0.04350505,-2.88692852,0.02926855,1.18482323,0.04187297,,,0.33368,-0.13617,-0.24953,,,,31,-6.34348659,1.4835131,1.0125405,1.0,10538.31752436,2.8557868,4866.0555657,8.381614,8021.45080158,10.370378,15.630439,16.1206,14.987263,1.133337,0.490161,0.643176,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.8429846,0.85032627,0.8646289,0.87435788,0.90473924,133.284737,10.9215718
465079,465078,NGC_2682,4606,598621443521529216,1,0,0.2283201938404042,133.2972532,0.03452441,10.9347473,0.01959049,216.8504662,31.9500618,-11.28956542,0.05088538,-2.93443137,0.03320599,1.10012593,0.05181803,,,0.49442,-0.19736,-0.31458,,,,31,-6.32741839,1.4575437,0.97340673,1.0,7122.40766513,2.175784,3054.43032639,8.560773,5734.97800318,9.901853,16.0558,16.626217,15.351566,1.274651,0.570417,0.704233,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.78982396,0.7956003,0.80718693,0.81624457,0.84431533,133.2973043,10.9347603
