recno,Seq,Name,ID,GaiaDR3,inrj,inrt,Prob,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,GLON,GLAT,pmRA,e_pmRA,pmDE,e_pmDE,Plx,e_Plx,pscol,e_pscol,PlxpmRACor,PlxpmDECor,pmRApmDECor,PlxpscolCor,pmRApscolCor,pmDEpscolCor,Solved,ELAT,nueff,RUWE,FidelityV1,FG,e_FG,FBP,e_FBP,FRP,e_FRP,Gmag,BPmag,RPmag,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,GRVSmag,e_GRVSmag,o_GRVSmag,Vbroad,e_Vbroad,o_Vbroad,VarFlag,NSS,RVS,Mass2.5,Mass16,Mass50,Mass84,Mass97.5,_RA.icrs,_DE.icrs
355565,355564,Melotte_111,4430,1239539282592104960,0,0,0.23179679585281096,218.413046,0.11209419,20.2417128,0.14060517,22.01565383,65.6585783,-6.94652728,0.14531408,-6.65624356,0.15224019,10.15098401,0.19497114,,,0.31186,0.22283,-0.076461,,,,31,33.3202007,1.2105285,1.0565494,1.0,1026.20535664,1.5167333,104.10321625,6.962372,1512.86539722,10.160403,18.15928,20.294882,16.798395,3.496487,2.135601,1.360886,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.15209091,0.1553223,0.15836735,0.1604837,0.16637223,218.4130789,20.2417424
355566,355565,Melotte_111,4430,1239806051600255360,0,0,0.24699112260973874,216.263516,0.25449002,19.4449053,0.2477407,18.22339373,67.2167284,-7.37178325,0.36220977,-6.6785055,0.31440803,10.27556305,0.34373367,0.9822232,0.06986831,0.10239,0.18588,-0.027105,-0.15247,-0.14624,-0.13888,95,31.8228702,,1.0367296,1.0,471.94172652,1.4350492,45.21660045,7.443164,754.84459854,11.671969,19.002645,21.200298,17.553251,3.647047,2.197653,1.449394,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.12257228,0.12829563,0.13075263,0.13271982,0.13487588,216.2635508,19.444935
355567,355566,Melotte_111,4430,1252936556898636032,0,0,0.24790917741863913,214.0078269,0.01973982,22.0264432,0.01915123,22.68557473,70.1309938,-5.91880875,0.02712182,-7.69137035,0.02362782,9.88440118,0.02968313,,,-0.10001,0.1269,0.0014385,,,,31,33.3895226,1.2784753,1.1052437,1.0,16167.61328562,13.103341,3167.3183746,17.599735,20041.03532966,31.62646,15.165752,16.586813,13.993095,2.593718,1.421061,1.172657,3.176034,7.71505,2.0,16.0,1.0,13.336647,0.05417747,20.0,,,,NOT_AVAILABLE,0,0,0.3957783,0.39622523,0.40175218,0.4057977,0.41751611,214.0078553,22.0264774
355568,355567,Melotte_111,4430,1253655156466983168,0,0,0.26392212490491823,212.4077717,0.02382493,22.754352,0.02113674,23.3610968,71.7649928,-9.02328542,0.03229288,-6.23449164,0.02709327,10.98117947,0.03237075,,,-0.044369,0.073642,0.022947,,,,31,33.4670964,1.2503114,1.080852,1.0,12287.71718601,9.015356,2010.55791128,9.8534155,16198.17730654,32.970257,15.463689,17.080252,14.22423,2.856022,1.616563,1.239459,-14.91834,3.444006,2.0,12.0,1.0,13.518379,0.07084694,17.0,,,,NOT_AVAILABLE,0,0,0.36669627,0.36731432,0.37244503,0.37614477,0.38695171,212.4078152,22.7543797
355569,355568,Melotte_111,4430,1253730296919135104,0,0,0.25091837807129447,213.9577076,0.0707859,22.488976,0.0672543,23.93830215,70.3220204,-6.19378329,0.08448549,-7.94411257,0.08439708,9.85721211,0.10278612,,,-0.066319,0.15418,-0.097601,,,,31,33.7958822,1.2153741,1.0054628,1.0,1809.78732721,2.4577012,216.50903589,6.6210403,2573.6290964,10.962997,17.543299,19.499851,16.22153,3.27832,1.956553,1.321768,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.18771684,0.18945537,0.19272877,0.19517612,0.20268507,213.9577374,22.4890113
355570,355569,Melotte_111,4430,1254338434224129920,0,0,0.2686072487752957,216.4163244,0.02553368,22.7116853,0.033393,26.43967718,68.2197114,-6.8200699,0.0377848,-6.77474773,0.0470154,9.95271835,0.04427572,,,-0.099059,0.17451,-0.4249,,,,31,34.8942646,1.2627391,1.1761949,1.0,11304.04674657,12.751231,2318.15025839,19.665676,17307.28107774,51.98925,15.554282,16.925688,14.152324,2.773364,1.371406,1.401958,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.35793448,0.35878485,0.36380734,0.3676135,0.37811077,216.4163572,22.7117155
355571,355570,Melotte_111,4430,1254809987273415168,0,0,0.2685078091622267,216.6180857,0.03859518,24.4465953,0.04206979,31.11928681,68.4724743,-6.43866279,0.04931192,-7.71870022,0.05186999,10.21264239,0.05891487,,,-0.040825,0.20505,0.033183,,,,31,36.5617831,1.2404646,1.0804447,1.0,4859.03077065,3.5737774,765.68074515,11.080997,6524.27367466,20.612501,16.470993,18.128424,15.211565,2.916859,1.657431,1.259428,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.26473988,0.26756443,0.2724372,0.27605161,0.28565978,216.6181171,24.4466296
355572,355571,Melotte_111,4430,1255608919909898112,0,0,0.27041782613678267,215.3594461,0.16362166,24.5860182,0.16992669,30.82651426,69.6213334,-9.05889829,0.2199079,-7.07217076,0.23108801,10.29091943,0.24319299,0.9945535,0.04749008,-0.065126,0.2407,-0.073175,0.089486,-0.073867,-0.042537,95,36.2316844,,0.95650935,1.0,496.00654824,1.072295,50.88703107,5.4980383,814.44833107,11.776944,18.948648,21.072025,17.470737,3.601288,2.123377,1.477911,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.12426875,0.12950612,0.13214758,0.13391776,0.13626094,215.3594904,24.5860496
355573,355572,Melotte_111,4430,1256911463231145472,0,0,0.2557236209893968,210.1123023,0.23310953,23.6062134,0.23750521,24.01660509,74.0324183,-10.0550472,0.29108697,-6.75065938,0.25674522,10.7519158,0.34758782,1.1356567,0.05451444,-0.073693,0.13962,0.037065,0.014528,-0.16452,0.063574,95,33.3854053,,5.3055806,0.87060547,5676.32041049,10.829078,1507.36005981,15.458624,13213.40405207,25.407866,16.3022,17.393,14.445358,2.947641,1.090799,1.856842,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.28066063,0.28288282,0.2883999,0.29179089,0.30182607,210.1123511,23.6062434
355574,355573,Melotte_111,4430,1258687243230062976,0,0,0.2672895686040824,210.5492436,0.04637682,26.3691311,0.04859802,34.2089051,74.1979952,-7.30691631,0.08141869,-8.71207813,0.06562149,10.77643023,0.08197986,,,-0.26319,0.099874,0.024524,,,,31,36.0610485,1.2202803,1.0017064,1.0,2520.55959541,1.967366,326.25136048,8.694111,3505.64520415,9.322843,17.183624,19.05466,15.885976,3.168685,1.871037,1.297648,,,,,,,,,,,,NOT_AVAILABLE,0,0,0.21231132,0.21287565,0.21643716,0.21935777,0.2286228,210.5492799,26.3691698
